siren,name,naf,headcount,siteWeb,creationDate,Country Code
949438055,ING'IEC,71.12B,1,,2023-02-28,FR
949444095,BEA-BA,71.12B,1,,2023-02-17,FR
949451132,DROP ACADEMY PARIS,85.59A,1,,2023-01-09,FR
949451322,BET SALADINO STRUCTURE,71.12B,1,,2023-02-06,FR
949451637,RJY PREVENTION,47.78C,1,,2023-03-01,FR
949455638,DATA & DECISIONS,58.29A,1,,2023-02-22,FR
949463756,BSA TECH SOLUTIONS,71.12B,3,,2023-03-01,FR
949467773,NOZ LENEUVE,47.19B,3,,2023-03-01,FR
949483705,E-BUSINESS SCHOOL,85.59A,1,,2023-02-14,FR
949484836,FOCALE FIXE,59.11B,2,,2023-01-01,FR
949485411,XELL,71.12B,1,,2023-03-01,FR
949488480,THE COLIVING COMPANY,82.99Z,2,,2023-02-22,FR
949490676,MED INGENIERIE & EXPERTISE,71.12B,1,,2023-03-01,FR
949496996,LCTEC,71.12B,1,,2023-01-08,FR
949511786,GAYA,71.12B,1,,2023-02-15,FR
949519409,VIPO FRANCE SAS,71.12B,11,,2023-02-01,FR
949526461,HAWLSSEN PRODUCTION,59.11B,1,,2023-03-01,FR
949529143,SAS MODIMMO,71.20B,1,,2023-03-03,FR
949533400,NEOCONCEPT VRD PARIS SUD,71.12B,1,,2023-02-01,FR
949534861,ODK,58.29C,2,,2023-02-27,FR
949538862,COMPETENTIS,85.59A,1,,2023-02-28,FR
949542013,ODYSAI,58.29C,1,,2023-01-27,FR
949557581,RENALTO,58.29C,1,,2023-02-22,FR
949572234,INGV AZUR,71.12B,1,,2023-02-24,FR
949616049,INSTITUT REN,82.99Z,1,,2023-03-02,FR
949618821,ONDO ENERGIES,71.12B,1,,2023-03-06,FR
949633341,MULTI.MADELEINE,47.43Z,3,,2023-03-07,FR
949635379,EASYINOX,85.59A,1,,2023-04-01,FR
949638308,JC-INGENIERIE GROUPE,71.12B,1,,2023-03-03,FR
949645600,CELEST SCIENCE,62.01Z,2,,2023-03-03,FR
949645923,ORGALY MARSEILLE,85.59A,1,,2023-02-01,FR
