id,registry_id,company_name,trade_name,acronym,activity_code,legal_form_code,employee_band,employee_estimate,has_employees,company_category,founded_date,country_code,signal_source,filter_version,extracted_at,match_keyword,composite_score,confidence,score_breakdown,rank,notes,website,linkedin,linkedin_followers,qa_status,qa_notes,reviewed_at,merged_to,created_at,updated_at,city,address
a21f7c6b-faa5-4e88-a87d-d50c3b5c5014,833347842,IVA DRONES,,,63.11Z,5710,02,3,false,PME,2017-11-07,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],60,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
4c135783-6a20-45ce-8c48-ead7c88bfb29,818970931,SB DRONE,,,71.12B,5710,NN,0,false,PME,2016-02-19,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],61,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
f19f8b61-9acd-4a3c-99af-3db3139fb3c6,802193359,PHOENIX DRONES,,,71.12B,5710,NN,0,false,PME,2014-05-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],62,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
1b7bfc08-9a38-4e65-ac5c-9114325df652,503579765,JUAV,,,47.71Z,5499,03,6,false,PME,2008-04-30,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,,23,low,[object Object],66,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
4ed0875c-2f6f-453b-815c-7cd056ae49d1,384971503,FRANCE CHAUDRONERIE SOLUTIONS,,SNCT PUBLICATIONS,85.59B,9220,03,6,false,PME,1991-02-25,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,23,low,[object Object],65,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
3497f2a2-7294-4916-a5d1-8c47b4ce3318,911417392,DRONEDELATTREEXPERTISE,,,71.12B,5710,01,1,false,PME,2022-03-16,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,23,high,[object Object],67,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
eae56b9b-f066-415d-ac8f-fc0db61203bc,820950566,SPA3DRONE,,,71.12B,5499,NN,0,false,PME,2016-06-15,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,23,high,[object Object],68,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
14654d1b-989b-45df-89ee-3dbefa94ed3f,505369447,CLEAN DRONE,ADEQUAT DIAGNOSTIC,,71.12B,5499,NN,0,false,PME,2008-08-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,23,high,[object Object],69,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
85399eb5-aa51-4e1f-9d94-c56f3af5ce9e,811187319,AIR DRONE SOLUTION,,,71.12B,5499,NN,0,false,PME,2015-05-02,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,23,high,[object Object],70,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
33599232-0164-46f7-b4f0-2564df363446,451969414,LEONELLO ACQUAVIVA,LEONELLO ACQUAVIVA SARL,,71.12B,5499,NN,0,false,PME,2004-02-04,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,,23,low,[object Object],76,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
