id,keywords,sources,regions,filter_days,min_score,max_articles,status,articles_fetched,articles_stored,dedup_removed,created_at,completed_at,campaign
run_202603171935412,"[""comet_import""]","[""comet_crawler""]",[],0,40,50,completed,30,30,0,2026-03-17 19:35:41.232+00,2026-03-17 19:35:41.232+00,dsp_6mo_sweep
run_li_202603180557489,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""linkedin""]",[],7,40,50,completed,112,10,102,2026-03-18 05:59:00.007+00,2026-03-18 05:59:00.007+00,null
run_li_202603180845522,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""linkedin""]",[],90,40,50,completed,118,18,100,2026-03-18 08:47:26.255+00,2026-03-18 08:47:26.255+00,null
run_li_202603180904363,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""linkedin""]",[],90,40,50,completed,112,18,94,2026-03-18 09:05:55.072+00,2026-03-18 09:05:55.072+00,null
run_li_202603180908372,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone Dock""]","[""linkedin""]",[],1,40,50,completed,98,5,93,2026-03-18 09:09:39.539+00,2026-03-18 09:09:39.539+00,null
run_li_202603180929245,"[""DJI Dock"",""DJI Dock 3"",""autonomous drone station"",""Drone-in-a-box"",""Drone Dock""]","[""linkedin""]",[],0,40,50,completed,114,45,69,2026-03-18 09:30:42.771+00,2026-03-18 09:30:42.771+00,null
run_202603180950394,"[""comet_import""]","[""comet_crawler""]",[],0,40,50,completed,20,20,0,2026-03-18 09:50:39.434+00,2026-03-18 09:50:39.434+00,dsp_6mo_sweep
run_li_202603181748150,"[""Drone-in-a-box""]","[""linkedin""]",[],7,40,50,completed,30,15,15,2026-03-18 17:48:52.001+00,2026-03-18 17:48:52.001+00,null
run_li_202603181807014,"[""Drone-in-a-box""]","[""linkedin""]",[],7,40,50,completed,22,11,11,2026-03-18 18:07:36.747+00,2026-03-18 18:07:36.747+00,null
run_li_202603181831499,"[""Drone-in-a-box""]","[""linkedin""]",[],7,40,50,completed,22,11,11,2026-03-18 18:32:32.218+00,2026-03-18 18:32:32.218+00,null
run_202603181836369,"[""DJI Dock 3""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil""]",7,40,50,completed,653,0,0,2026-03-18 18:36:38.435+00,2026-03-18 18:36:38.435+00,null
run_li_202603181839359,"[""Drone Dock""]","[""linkedin""]",[],7,40,50,completed,61,31,30,2026-03-18 18:41:34.763+00,2026-03-18 18:41:34.763+00,null
run_202603181923017,"[""DJI Dock""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil""]",7,40,50,completed,800,1,7,2026-03-18 19:23:03.359+00,2026-03-18 19:23:03.359+00,null
run_li_202603181924359,"[""DJI Dock""]","[""linkedin""]",[],7,40,50,completed,69,36,33,2026-03-18 19:26:14.856+00,2026-03-18 19:26:14.856+00,null
run_202603181941578,"[""autonomous drone station""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil""]",7,40,50,completed,32,1,7,2026-03-18 19:41:58.997+00,2026-03-18 19:41:58.997+00,null
run_li_202603181941578,"[""autonomous drone station""]","[""linkedin""]",[],7,40,50,completed,65,33,32,2026-03-18 19:43:49.374+00,2026-03-18 19:43:49.374+00,null
run_202603190558502,"[""autonomous drone station""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil""]",90,40,50,completed,32,1,7,2026-03-19 05:58:51.512+00,2026-03-19 05:58:51.512+00,null
run_202603190559471,"[""Drone Dock""]","[""google_news""]","[""US"",""Canada"",""Brazil"",""Mexico"",""UK"",""Germany"",""France"",""Italy"",""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",90,40,50,completed,1332,13,181,2026-03-19 05:59:49.313+00,2026-03-19 05:59:49.313+00,null
run_li_202603190605563,"[""Drone Dock""]","[""linkedin""]",[],90,40,50,completed,55,7,48,2026-03-19 06:08:25.875+00,2026-03-19 06:08:25.875+00,null
run_li_202603190646179,"[""Drone-in-a-box""]","[""linkedin""]",[],7,40,50,completed,22,0,22,2026-03-19 06:47:37.195+00,2026-03-19 06:47:37.195+00,null
