rank,score,siren,company_name,trade_name,acronym,naf_code,employee_band,company_category,founded_date,city,signals,website_to_enrich,linkedin_to_enrich
104,80,982429078,AKP-DRONES,,,71.20B,NN,PME,2023-11-16,,NAF_A:71.20B|generic_name|structured|PME/micro,,
105,80,984250720,DRONE INVESTIGATION,,,71.20B,NN,,2024-02-02,,NAF_A:71.20B|generic_name|structured|PME/micro,,
106,80,987789302,ASESDRONE,,,71.20B,NN,,2024-04-01,,NAF_A:71.20B|generic_name|structured|PME/micro,,
107,80,988728929,SOLODRONE,,,71.12B,NN,,2025-07-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
108,80,990508400,DRONE-CAPTURE,,,71.12B,NN,,2025-08-21,,NAF_A:71.12B|generic_name|structured|PME/micro,,
109,80,993902204,ONITDRONE,,,71.12B,NN,,2025-11-12,,NAF_A:71.12B|generic_name|structured|PME/micro,,
110,80,999031198,SCAN TO DRONE,,,71.20B,NN,,2026-01-05,,NAF_A:71.20B|generic_name|structured|PME/micro,,
111,75,531970051,DRONE VOLT,,,30.30Z,12,PME,2011-04-12,,NAF_B:30.30Z|generic_name|structured|emp:12|PME/micro,,
112,75,534093349,WEBDRONE,,,62.01Z,11,PME,2011-07-19,,NAF_B:62.01Z|generic_name|structured|emp:11|PME/micro,,
113,75,539609610,UAV INNOVATION CONSULTING,,,74.90B,NN,,2012-01-02,,NAF_B:74.90B|provider_kw|structured|PME/micro,,
114,75,798129086,DRONES IMAGING,,,74.90B,01,PME,2013-11-01,,NAF_B:74.90B|generic_name|structured|emp:01|PME/micro,,
115,75,798275194,INNOVADRONE,,SARL,30.30Z,01,PME,2013-11-01,,NAF_B:30.30Z|generic_name|structured|emp:01|PME/micro,,
116,75,799051099,POLIDRONE,,,63.11Z,01,PME,2013-12-04,,NAF_B:63.11Z|generic_name|structured|emp:01|PME/micro,,
117,75,801598582,DRONESCAPE,,,62.01Z,01,PME,2014-03-18,,NAF_B:62.01Z|generic_name|structured|emp:01|PME/micro,,
118,75,802991414,HEXADRONE,,,30.30Z,11,PME,2014-05-26,,NAF_B:30.30Z|generic_name|structured|emp:11|PME/micro,,
